% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	4.22113e-11	88989.2	0
0.00121429	1	1	0	4.22113e-11	88989.2	0
0.00221428	1	1	0	4.22113e-11	88989.2	0
0.00321428	1	1	0	4.22113e-11	88989.2	0
0.00421428	1	1	0	4.22113e-11	88989.2	0
0.00521428	1	1	0	4.22113e-11	88989.2	0
0.00621428	1	1	0	4.22113e-11	88989.2	0
0.00721428	1	1	0	4.22113e-11	88989.2	0
0.00821428	1	1	0	4.22113e-11	88989.2	0
0.00921428	1	1	0	4.22113e-11	88989.2	0
0.0102143	1	1	0	4.22113e-11	88989.2	0
0.0112143	1	1	0	4.22113e-11	88989.2	0
0.0122143	1	1	0	4.22113e-11	88989.2	0
0.0132143	1	1	0	4.22113e-11	88989.2	0
0.0142143	1	1	0	4.22113e-11	88989.2	0
0.0152143	1	1	0	4.22113e-11	88989.2	0
0.0162143	1	1	0	4.22113e-11	88989.2	0
0.0172143	1	1	0	4.22113e-11	88989.2	0
0.0182143	1	1	0	4.22113e-11	88989.2	0
0.0192143	1	1	0	4.22113e-11	88989.2	0
0.0202143	1	1	0	4.22113e-11	88989.2	0
0.0212143	1	1	1	4.22113e-11	88989.2	0
0.0222143	1	1	1	4.22113e-11	88989.2	0
0.0232143	1	1	1	4.22113e-11	88989.2	0
0.0242143	1	1	1	4.22113e-11	88989.2	0
0.0252143	1	1	1	4.22113e-11	88989.2	0
0.0262143	1	1	1	4.22113e-11	88989.2	0
0.0272143	1	1	1	4.22113e-11	88989.2	0
0.0282143	1	1	1	4.22113e-11	88989.2	0
0.0292143	1	1	1	4.22113e-11	88989.2	0
0.0302143	1	1	1	4.22113e-11	88989.2	0
0.0312143	1	1	1	4.22113e-11	88989.2	0
0.0322143	1	1	1	4.22113e-11	88989.2	0
0.0332143	1	1	1	4.22113e-11	88989.2	0
0.0342143	1	1	1	4.22113e-11	88989.2	0
0.0352143	1	1	1	4.22113e-11	88989.2	0
0.0362143	1	1	1	4.22113e-11	88989.2	0
0.0372143	1	1	1	4.22113e-11	88989.2	0
0.0382143	1	1	1	4.22113e-11	88989.2	0
0.0392143	1	1	1	4.22113e-11	88989.2	0
0.0402143	1	1	1	4.22113e-11	88989.2	0
0.0412143	1	1	1	4.22113e-11	88989.2	0
0.0422143	1	1	1	4.22113e-11	88989.2	0
0.0432143	1	1	1	4.22113e-11	88989.2	0
0.0442143	1	1	1	4.22113e-11	88989.2	0
0.0452143	1	1	1	4.22113e-11	88989.2	0
0.0462143	1	1	1	4.22113e-11	88989.2	0
0.0472143	1	1	1	4.22113e-11	88989.2	0
0.0482143	1	1	1	4.22113e-11	88989.2	0
0.0492143	1	1	1	4.22113e-11	88989.2	0
0.0502143	1	1	1	4.22113e-11	88989.2	0
0.0512143	1	1	1	4.22113e-11	88989.2	0
0.0522143	1	1	1	4.22113e-11	88989.2	0
0.0532143	1	1	1	4.22113e-11	88989.2	0
0.0542143	1	1	1	4.22113e-11	88989.2	0
0.0552143	1	1	1	4.22113e-11	88989.2	0
0.0562143	1	1	1	4.22113e-11	88989.2	0
0.0572143	1	1	1	4.22113e-11	88989.2	0
0.0582143	1	1	1	4.22113e-11	88989.2	0
0.0592143	1	1	1	4.22113e-11	88989.2	0
0.0602143	1	1	1	4.22113e-11	88989.2	0
0.0612143	1	1	1	4.22113e-11	88989.2	0
0.0622143	1	1	1	4.22113e-11	88989.2	0
0.0632143	1	1	1	4.22113e-11	88989.2	0
0.0642143	1	1	1	4.22113e-11	88989.2	0
0.0652143	1	1	1	4.22113e-11	88989.2	0
0.0662143	1	1	1	4.22113e-11	88989.2	0
0.0672143	1	1	1	4.22113e-11	88989.2	0
0.0682143	1	1	1	4.22113e-11	88989.2	0
0.0692143	1	1	1	4.22113e-11	88989.2	0
0.0702143	1	1	1	4.22113e-11	88989.2	0
0.0712143	1	1	1	4.22113e-11	88989.2	0
0.0722143	1	1	1	4.22113e-11	88989.2	0
0.0732143	1	1	1	4.22113e-11	88989.2	0
0.0742143	1	1	1	4.22113e-11	88989.2	0
0.0752143	1	1	1	4.22113e-11	88989.2	0
0.0762143	1	1	1	4.22113e-11	88989.2	0
0.0772143	1	1	1	4.22113e-11	88989.2	0
0.0782143	1	1	1	4.22113e-11	88989.2	0
0.0792143	1	1	1	4.22113e-11	88989.2	0
0.0802143	1	1	1	4.22113e-11	88989.2	0
0.0812143	1	1	1	4.22113e-11	88989.2	0
0.0822143	1	1	1	4.22113e-11	88989.2	0
0.0832143	1	1	1	4.22113e-11	88989.2	0
0.0842143	1	1	1	4.22113e-11	88989.2	0
0.0852143	1	1	1	4.22113e-11	88989.2	0
0.0862143	1	1	1	4.22113e-11	88989.2	0
0.0872143	1	1	1	4.22113e-11	88989.2	0
0.0882143	1	1	1	4.22113e-11	88989.2	0
0.0892143	1	1	1	4.22113e-11	88989.2	0
0.0902143	1	1	1	4.22113e-11	88989.2	0
0.0912143	1	1	1	4.22113e-11	88989.2	0
0.0922143	1	1	1	4.22113e-11	88989.2	0
0.0932143	1	1	1	4.22113e-11	88989.2	0
0.0942143	1	1	1	4.22113e-11	88989.2	0
0.0952143	1	1	1	4.22113e-11	88989.2	0
0.0962143	1	1	1	4.22113e-11	88989.2	0
0.0972143	1	1	1	4.22113e-11	88989.2	0
0.0982143	1	1	1	4.22113e-11	88989.2	0
0.0992143	1	1	1	4.22113e-11	88989.2	0
0.100214	1	1	1	4.22113e-11	88989.2	0
0.101214	1	1	1	4.22113e-11	88989.2	0
0.102214	1	1	1	4.22113e-11	88989.2	0
0.103214	1	1	1	4.22113e-11	88989.2	0
0.104214	1	1	1	4.22113e-11	88989.2	0
0.105214	1	1	1	4.22113e-11	88989.2	0
0.106214	1	1	1	4.22113e-11	88989.2	0
0.107214	1	1	1	4.22113e-11	88989.2	0
0.108214	1	1	1	4.22113e-11	88989.2	0
0.109214	1	1	1	4.22113e-11	88989.2	0
0.110214	1	1	1	4.22113e-11	88989.2	0
0.111214	1	1	1	4.22113e-11	88989.2	0
0.112214	1	1	1	4.22113e-11	88989.2	0
0.113214	1	1	1	4.22113e-11	88989.2	0
0.114214	1	1	1	4.22113e-11	88989.2	0
0.115214	1	1	1	4.22113e-11	88989.2	0
0.116214	1	1	1	4.22113e-11	88989.2	0
0.117214	1	1	1	4.22113e-11	88989.2	0
0.118214	1	1	1	4.22113e-11	88989.2	0
0.119214	1	1	1	4.22113e-11	88989.2	0
0.120214	1	1	1	4.22113e-11	88989.2	0
0.121214	1	1	1	4.22113e-11	88989.2	0
0.122214	1	1	1	4.22113e-11	88989.2	0
0.123214	1	1	1	4.22113e-11	88989.2	0
0.124214	1	1	1	4.22113e-11	88989.2	0
0.125214	1	1	1	4.22113e-11	88989.2	0
0.126214	1	1	1	4.22113e-11	88989.2	0
0.127214	1	1	1	4.22113e-11	88989.2	0
0.128214	1	1	1	4.22113e-11	88989.2	0
0.129214	1	1	1	4.22113e-11	88989.2	0
0.130214	1	1	1	4.22113e-11	88989.2	0
0.131214	1	1	1	4.22113e-11	88989.2	0
0.132214	1	1	1	4.22113e-11	88989.2	0
0.133214	1	1	1	4.22113e-11	88989.2	0
0.134214	1	1	1	4.22113e-11	88989.2	0
0.135214	1	1	1	4.22113e-11	88989.2	0
0.136214	1	1	1	4.22113e-11	88989.2	0
0.137214	1	1	1	4.22113e-11	88989.2	0
0.138214	1	1	1	4.22113e-11	88989.2	0
0.139214	1	1	1	4.22113e-11	88989.2	0
0.140214	1	1	1	4.22113e-11	88989.2	0
0.141214	1	1	1	4.22113e-11	88989.2	0
0.142214	1	1	1	4.22113e-11	88989.2	0
0.143214	1	1	1	4.22113e-11	88989.2	0
0.144214	1	1	1	4.22113e-11	88989.2	0
0.145214	1	1	1	4.22113e-11	88989.2	0
0.146214	1	1	1	4.22113e-11	88989.2	0
0.147214	1	1	1	4.22113e-11	88989.2	0
0.148214	1	1	1	4.22113e-11	88989.2	0
0.149214	1	1	1	4.22113e-11	88989.2	0
0.150214	1	1	1	4.22113e-11	88989.2	0
0.151214	1	1	1	4.22113e-11	88989.2	0
0.152214	1	1	1	4.22113e-11	88989.2	0
0.153214	1	1	1	4.22113e-11	88989.2	0
0.154214	1	1	1	4.22113e-11	88989.2	0
0.155214	1	1	1	4.22113e-11	88989.2	0
0.156214	1	1	1	4.22113e-11	88989.2	0
0.157214	1	1	1	4.22113e-11	88989.2	0
0.158214	1	1	1	4.22113e-11	88989.2	0
0.159214	1	1	1	4.22113e-11	88989.2	0
0.160214	1	1	1	4.22113e-11	88989.2	0
0.161214	1	1	1	4.22113e-11	88989.2	0
0.162214	1	1	1	4.22113e-11	88989.2	0
0.163214	1	1	1	4.22113e-11	88989.2	0
0.164214	1	1	1	4.22113e-11	88989.2	0
0.165214	1	1	1	4.22113e-11	88989.2	0
0.166214	1	1	1	4.22113e-11	88989.2	0
0.167214	1	1	1	4.22113e-11	88989.2	0
0.168214	1	1	1	4.22113e-11	88989.2	0
0.169214	1	1	1	4.22113e-11	88989.2	0
0.170214	1	1	1	4.22113e-11	88989.2	0
0.171214	1	1	1	4.22113e-11	88989.2	0
0.172214	1	1	1	4.22113e-11	88989.2	0
0.173214	1	1	1	4.22113e-11	88989.2	0
0.174214	1	1	1	4.22113e-11	88989.2	0
0.175214	1	1	1	4.22113e-11	88989.2	0
0.176214	1	1	1	4.22113e-11	88989.2	0
0.177214	1	1	1	4.22113e-11	88989.2	0
0.178214	1	1	1	4.22113e-11	88989.2	0
0.179214	1	1	1	4.22113e-11	88989.2	0
