simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
3.675	26	21	300000.0	-9.278	0.350	2.0	0.0	1.0	0.0	0.0	17.118	0.004070	
3.700	27	22	500000.0	-8.085	0.780	2.0	0.0	4.0	2.0	6.0	10.558	0.971980	
3.725	28	22	1000000.0	-7.050	0.780	2.0	0.0	4.0	2.0	6.0	9.045	0.593912	
3.750	29	22	1000000.0	-8.530	0.780	2.0	0.0	4.0	2.0	6.0	9.395	0.088365	
3.775	30	23	100000.0	-6.926	0.408	2.0	0.0	1.0	0.0	0.0	25.500	0.933501	
3.800	31	22	300000.0	-5.336	0.780	2.0	0.0	4.0	2.0	6.0	10.688	0.998956	
3.825	32	26	500000.0	-6.911	0.683	1.0	0.0	0.0	1.0	1.0	11.048	0.998671	
3.850	33	22	1000000.0	-7.399	0.780	2.0	0.0	4.0	2.0	6.0	9.085	0.350932	
3.875	34	22	1000000.0	-6.357	0.780	2.0	0.0	4.0	2.0	6.0	9.622	0.798229	
3.900	35	26	100000.0	-8.670	0.683	1.0	0.0	0.0	1.0	1.0	15.652	0.273527	
3.925	36	23	300000.0	-9.066	0.408	2.0	0.0	1.0	0.0	0.0	17.794	0.005495	
3.950	37	24	500000.0	-4.532	0.864	1.0	0.0	0.0	3.0	4.0	13.942	0.999074	
3.975	38	24	1000000.0	-7.648	0.864	1.0	0.0	0.0	3.0	4.0	7.220	0.956648	
4.000	39	25	1000000.0	-5.736	0.775	0.0	0.0	1.0	1.0	2.0	14.619	0.999074	
4.025	0	22	100000.0	-6.644	0.778	2.0	0.0	4.0	2.0	6.0	9.280	0.999227	
4.050	1	22	300000.0	-5.731	0.778	2.0	0.0	4.0	2.0	6.0	10.058	0.999227	
4.075	2	24	500000.0	-8.281	0.873	1.0	0.0	0.0	3.0	4.0	7.818	0.994374	
4.100	3	22	1000000.0	-6.415	0.778	2.0	0.0	4.0	2.0	6.0	7.922	0.615531	
4.125	4	27	1000000.0	-9.215	0.798	0.0	0.0	0.0	0.0	2.0	7.113	0.798229	
4.150	5	21	100000.0	-8.745	0.362	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
4.175	6	22	300000.0	-8.462	0.778	2.0	0.0	4.0	2.0	6.0	4.900	0.971980	
4.200	7	25	500000.0	-8.090	0.775	0.0	0.0	1.0	1.0	2.0	13.821	0.986213	
4.225	8	26	1000000.0	-9.045	0.698	1.0	0.0	0.0	1.0	1.0	7.506	0.310909	
4.250	9	27	1000000.0	-7.109	0.798	0.0	0.0	0.0	0.0	2.0	10.754	0.998671	
4.275	10	24	100000.0	-6.182	0.873	1.0	0.0	0.0	3.0	4.0	9.545	0.999227	
4.300	11	22	300000.0	-7.876	0.778	2.0	0.0	4.0	2.0	6.0	6.028	0.998589	
4.325	12	24	500000.0	-4.619	0.873	1.0	0.0	0.0	3.0	4.0	11.483	0.999074	
4.350	13	22	1000000.0	-7.910	0.778	2.0	0.0	4.0	2.0	6.0	7.344	0.207731	
4.375	14	24	1000000.0	-9.246	0.873	1.0	0.0	0.0	3.0	4.0	2.849	0.166582	
4.400	15	22	100000.0	-7.347	0.778	2.0	0.0	4.0	2.0	6.0	8.519	0.999227	
4.425	16	25	300000.0	-7.172	0.775	0.0	0.0	1.0	1.0	2.0	12.841	0.998589	
4.450	17	22	500000.0	-8.760	0.778	2.0	0.0	4.0	2.0	6.0	8.955	0.733687	
4.475	18	24	1000000.0	-6.902	0.873	1.0	0.0	0.0	3.0	4.0	8.000	0.998987	
4.500	19	24	1000000.0	-6.945	0.873	1.0	0.0	0.0	3.0	4.0	7.987	0.999154	
4.525	20	21	100000.0	-8.706	0.362	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
4.550	21	14	300000.0	-7.272	1.000	0.0	0.0	1.0	0.0	0.0	28.000	0.998956	
4.575	22	16	500000.0	-8.364	1.000	0.0	0.0	0.0	1.0	0.0	28.000	0.998093	
4.600	23	25	1000000.0	-6.962	0.775	0.0	0.0	1.0	1.0	2.0	11.281	0.998891	
4.625	24	12	1000000.0	-7.549	1.000	0.0	0.0	0.0	0.0	1.0	28.000	0.998987	
4.650	25	23	100000.0	-6.659	0.385	2.0	0.0	1.0	0.0	0.0	26.667	0.999227	
4.675	26	21	300000.0	-9.278	0.362	2.0	0.0	1.0	0.0	0.0	19.475	0.004070	
4.700	27	22	500000.0	-8.085	0.778	2.0	0.0	4.0	2.0	6.0	11.200	0.960248	
4.725	28	22	1000000.0	-7.050	0.778	2.0	0.0	4.0	2.0	6.0	8.896	0.549644	
4.750	29	22	1000000.0	-8.530	0.778	2.0	0.0	4.0	2.0	6.0	9.217	0.179523	
4.775	30	23	100000.0	-6.926	0.385	2.0	0.0	1.0	0.0	0.0	26.667	0.696879	
4.800	31	22	300000.0	-5.336	0.778	2.0	0.0	4.0	2.0	6.0	10.730	0.998589	
4.825	32	26	500000.0	-6.911	0.698	1.0	0.0	0.0	1.0	1.0	10.422	0.998891	
4.850	33	22	1000000.0	-7.399	0.778	2.0	0.0	4.0	2.0	6.0	9.852	0.291867	
4.875	34	22	1000000.0	-6.357	0.778	2.0	0.0	4.0	2.0	6.0	9.649	0.798229	
4.900	35	26	100000.0	-8.670	0.698	1.0	0.0	0.0	1.0	1.0	13.538	0.132224	
4.925	36	23	300000.0	-9.066	0.385	2.0	0.0	1.0	0.0	0.0	20.772	0.009998	
4.950	37	24	500000.0	-4.532	0.873	1.0	0.0	0.0	3.0	4.0	13.942	0.999074	
4.975	38	24	1000000.0	-7.648	0.873	1.0	0.0	0.0	3.0	4.0	7.016	0.933501	
5.000	39	25	1000000.0	-5.736	0.775	0.0	0.0	1.0	1.0	2.0	14.933	0.998987	
5.025	0	22	100000.0	-6.644	0.779	2.0	0.0	4.0	2.0	6.0	8.917	0.998093	
5.050	1	22	300000.0	-5.731	0.779	2.0	0.0	4.0	2.0	6.0	9.690	0.998956	
5.075	2	24	500000.0	-8.281	0.877	1.0	0.0	0.0	3.0	4.0	7.585	0.998671	
5.100	3	22	1000000.0	-6.415	0.779	2.0	0.0	4.0	2.0	6.0	8.054	0.615531	
5.125	4	27	1000000.0	-9.215	0.774	0.0	0.0	0.0	0.0	2.0	7.681	0.812407	
5.150	5	21	100000.0	-8.745	0.328	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
