0	32	0	
0	33	0	
0	34	0	
0	35	0	
0	36	0	
0	37	0	
0	38	0	
0	39	0	
0	40	0	
0	41	0	
0	42	0	
0	43	0	
0	44	0	
0	45	0	
0	46	0	
0	47	0	
0	48	0	
0	49	0	
0	50	0	
0	51	0	
0	52	0	
0	53	0	
0	54	0	
0	55	0	
0	56	0	
0	57	0	
0	58	0	
0	59	0	
0	60	0	
0	61	0	
0	62	0	
0	63	0	
0	64	0	
0	65	0	
0	66	0	
0	67	0	
0	68	0	
0	69	0	
0	70	0	
0	71	0	
1	32	7000	
1	33	21000	
1	34	29000	
1	35	30000	
1	36	24000	
1	37	1000	
1	38	13000	
1	39	32000	
1	40	15000	
1	41	65000	
1	42	7000	
1	43	20000	
1	44	35000	
1	45	22000	
1	46	10000	
1	47	7000	
1	48	20000	
1	49	18000	
1	50	64000	
1	51	64000	
1	52	0	
1	53	21000	
1	54	35000	
1	55	68000	
1	56	68000	
1	57	7000	
1	58	0	
1	59	24000	
1	60	28000	
1	61	17000	
1	62	5000	
1	63	20000	
1	64	35000	
1	65	29000	
1	66	39000	
1	67	1000	
1	68	2000	
1	69	35000	
1	70	43000	
1	71	68000	
2	32	21000	
2	33	62000	
2	34	80000	
2	35	96000	
2	36	110000	
2	37	1000	
2	38	47000	
2	39	94000	
2	40	60000	
2	41	201000	
2	42	21000	
2	43	61000	
2	44	103000	
2	45	61000	
2	46	36000	
2	47	21000	
2	48	59000	
2	49	54000	
2	50	198000	
2	51	187000	
2	52	0	
2	53	61000	
2	54	98000	
2	55	202000	
2	56	204000	
2	57	21000	
2	58	0	
2	59	72000	
2	60	91000	
2	61	56000	
2	62	13000	
2	63	62000	
2	64	103000	
2	65	84000	
2	66	114000	
2	67	6000	
2	68	5000	
2	69	103000	
2	70	129000	
2	71	206000	
3	32	35000	
3	33	103000	
3	34	149000	
3	35	162000	
3	36	195000	
3	37	1000	
3	38	71000	
3	39	152000	
3	40	117000	
3	41	338000	
3	42	35000	
3	43	101000	
3	44	172000	
3	45	107000	
3	46	58000	
3	47	34000	
3	48	100000	
3	49	92000	
3	50	333000	
3	51	328000	
3	52	0	
3	53	103000	
3	54	162000	
3	55	337000	
3	56	340000	
3	57	35000	
3	58	0	
3	59	117000	
3	60	156000	
3	61	90000	
3	62	19000	
3	63	103000	
3	64	170000	
3	65	133000	
3	66	192000	
3	67	11000	
3	68	11000	
3	69	172000	
3	70	220000	
3	71	343000	
4	32	48000	
4	33	144000	
4	34	221000	
4	35	228000	
4	36	295000	
4	37	1000	
4	38	103000	
4	39	218000	
4	40	175000	
4	41	465000	
4	42	49000	
4	43	139000	
4	44	241000	
4	45	153000	
4	46	95000	
4	47	46000	
4	48	142000	
4	49	126000	
4	50	468000	
4	51	459000	
4	52	0	
4	53	144000	
4	54	223000	
4	55	475000	
4	56	475000	
4	57	48000	
4	58	0	
4	59	160000	
4	60	219000	
4	61	125000	
4	62	30000	
4	63	144000	
4	64	238000	
4	65	192000	
4	66	270000	
4	67	15000	
4	68	13000	
4	69	241000	
4	70	313000	
4	71	480000	
5	32	62000	
5	33	186000	
5	34	276000	
5	35	293000	
5	36	371000	
5	37	1000	
5	38	132000	
5	39	279000	
5	40	218000	
5	41	596000	
5	42	62000	
5	43	180000	
5	44	310000	
5	45	202000	
