simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	16	100000.0	-4.395	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.993419	
1.050	1	17	100000.0	-6.853	0.851	8.0	0.0	0.0	3.0	3.0	16.000	0.578817	
1.075	2	13	500000.0	-7.720	0.837	2.0	0.0	0.0	2.0	3.0	4.557	0.999091	
1.100	3	12	100000.0	-5.476	0.663	5.0	0.0	0.0	2.0	1.0	18.182	0.132258	
1.125	4	13	1000000.0	-5.162	0.837	2.0	0.0	0.0	2.0	3.0	12.090	0.993370	
1.150	5	13	100000.0	-4.384	0.837	2.0	0.0	0.0	2.0	3.0	17.714	0.965102	
1.175	6	12	100000.0	-4.764	0.663	5.0	0.0	0.0	2.0	1.0	17.750	0.965134	
1.200	7	12	500000.0	-5.201	0.663	5.0	0.0	0.0	2.0	1.0	15.069	0.999963	
1.225	8	13	100000.0	-7.809	0.837	2.0	0.0	0.0	2.0	3.0	6.250	0.000343	
1.250	9	13	1000000.0	-6.740	0.837	2.0	0.0	0.0	2.0	3.0	8.840	0.996675	
1.275	10	15	100000.0	-4.760	0.375	3.0	0.0	0.0	0.0	0.0	28.000	0.992773	
1.300	11	15	100000.0	-4.298	0.375	3.0	0.0	0.0	0.0	0.0	28.000	0.978617	
1.325	12	17	500000.0	-3.209	0.851	8.0	0.0	0.0	3.0	3.0	24.138	0.999992	
1.350	13	14	100000.0	-7.140	0.577	2.0	0.0	0.0	0.0	1.0	16.400	0.005089	
1.375	14	14	1000000.0	-5.168	0.577	2.0	0.0	0.0	0.0	1.0	21.000	0.985390	
1.400	15	15	100000.0	-8.787	0.375	3.0	0.0	0.0	0.0	0.0	28.000	1.000000	
1.425	16	12	100000.0	-3.741	0.663	5.0	0.0	0.0	2.0	1.0	22.000	0.986957	
1.450	17	12	500000.0	-3.513	0.663	5.0	0.0	0.0	2.0	1.0	21.486	0.846150	
1.475	18	11	100000.0	-3.210	0.483	1.0	0.0	0.0	1.0	0.0	25.143	0.994103	
1.500	19	12	1000000.0	-6.994	0.663	5.0	0.0	0.0	2.0	1.0	12.792	0.000034	
1.525	20	14	100000.0	-6.060	0.577	2.0	0.0	0.0	0.0	1.0	26.000	0.982506	
1.550	21	16	100000.0	-5.847	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.976551	
1.575	22	11	500000.0	-7.807	0.483	1.0	0.0	0.0	1.0	0.0	15.810	0.000000	
1.600	23	17	100000.0	-3.296	0.851	8.0	0.0	0.0	3.0	3.0	22.000	0.999967	
1.625	24	17	1000000.0	-6.116	0.851	8.0	0.0	0.0	3.0	3.0	10.045	0.999939	
1.650	25	17	100000.0	-6.620	0.851	8.0	0.0	0.0	3.0	3.0	11.600	0.112154	
1.675	26	17	100000.0	-4.732	0.851	8.0	0.0	0.0	3.0	3.0	10.333	0.911494	
1.700	27	17	500000.0	-4.362	0.851	8.0	0.0	0.0	3.0	3.0	12.176	0.999889	
1.725	28	12	100000.0	-8.034	0.663	5.0	0.0	0.0	2.0	1.0	17.800	0.000000	
1.750	29	13	1000000.0	-7.608	0.837	2.0	0.0	0.0	2.0	3.0	6.575	0.000000	
1.775	30	16	100000.0	-4.664	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.944480	
1.800	31	17	100000.0	-3.170	0.851	8.0	0.0	0.0	3.0	3.0	25.429	0.999760	
1.825	32	17	500000.0	-3.303	0.851	8.0	0.0	0.0	3.0	3.0	20.143	0.999993	
1.850	33	17	100000.0	-6.741	0.851	8.0	0.0	0.0	3.0	3.0	10.800	0.317730	
1.875	34	17	1000000.0	-6.011	0.851	8.0	0.0	0.0	3.0	3.0	11.439	0.993985	
1.900	35	17	100000.0	-5.425	0.851	8.0	0.0	0.0	3.0	3.0	7.000	0.005690	
1.925	36	12	100000.0	-8.165	0.663	5.0	0.0	0.0	2.0	1.0	19.778	0.000000	
1.950	37	13	500000.0	-6.654	0.837	2.0	0.0	0.0	2.0	3.0	6.958	0.999865	
1.975	38	17	100000.0	-6.473	0.851	8.0	0.0	0.0	3.0	3.0	13.556	0.103271	
2.000	39	17	1000000.0	-7.159	0.851	8.0	0.0	0.0	3.0	3.0	5.200	0.000000	
2.025	0	16	100000.0	-4.442	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.994605	
2.050	1	17	100000.0	-6.849	0.851	8.0	0.0	0.0	3.0	3.0	14.000	0.429934	
2.075	2	13	500000.0	-7.668	0.863	2.0	0.0	0.0	2.0	3.0	4.246	0.995937	
2.100	3	12	100000.0	-5.476	0.668	5.0	0.0	0.0	2.0	1.0	17.500	0.978518	
2.125	4	13	1000000.0	-5.205	0.863	2.0	0.0	0.0	2.0	3.0	12.374	0.995512	
2.150	5	13	100000.0	-4.358	0.863	2.0	0.0	0.0	2.0	3.0	15.429	0.971245	
