simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
435.750	29	21	1000000.0	-6.733	0.950	15.0	0.0	0.0	4.0	4.0	5.191	0.000000	
435.775	30	18	100000.0	-8.063	1.000	1.0	0.0	0.0	0.0	0.0	28.000	0.000000	
435.800	31	23	100000.0	-6.845	1.000	8.0	0.0	0.0	4.0	3.0	4.684	0.000000	
435.825	32	23	500000.0	-5.607	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
435.850	33	21	100000.0	-6.719	0.950	15.0	0.0	0.0	4.0	4.0	4.650	0.000000	
435.875	34	23	1000000.0	-4.616	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
435.900	35	23	100000.0	-4.840	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000318	
435.925	36	21	100000.0	-5.862	0.950	15.0	0.0	0.0	4.0	4.0	8.000	0.000044	
435.950	37	23	500000.0	-7.175	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
435.975	38	23	100000.0	-5.375	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.000	39	23	1000000.0	-4.049	1.000	8.0	0.0	0.0	4.0	3.0	12.000	0.000000	
436.025	0	21	100000.0	-7.303	0.954	15.0	0.0	0.0	4.0	4.0	6.545	0.011460	
436.050	1	23	100000.0	-5.081	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.075	2	21	500000.0	-6.931	0.954	15.0	0.0	0.0	4.0	4.0	9.537	0.999899	
436.100	3	23	100000.0	-5.868	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.125	4	21	1000000.0	-5.287	0.954	15.0	0.0	0.0	4.0	4.0	8.000	0.000000	
436.150	5	21	100000.0	-4.775	0.954	15.0	0.0	0.0	4.0	4.0	8.000	0.000042	
436.175	6	21	100000.0	-5.092	0.954	15.0	0.0	0.0	4.0	4.0	10.000	0.001148	
436.200	7	21	500000.0	-4.597	0.954	15.0	0.0	0.0	4.0	4.0	20.000	0.999992	
436.225	8	21	100000.0	-3.966	0.954	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
436.250	9	21	1000000.0	-4.622	0.954	15.0	0.0	0.0	4.0	4.0	12.000	0.000000	
436.275	10	21	100000.0	-3.453	0.954	15.0	0.0	0.0	4.0	4.0	24.000	0.997079	
436.300	11	21	100000.0	-4.843	0.954	15.0	0.0	0.0	4.0	4.0	14.000	0.000130	
436.325	12	23	500000.0	-5.530	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.350	13	21	100000.0	-5.010	0.954	15.0	0.0	0.0	4.0	4.0	16.000	0.999998	
436.375	14	21	1000000.0	-3.983	0.954	15.0	0.0	0.0	4.0	4.0	20.000	0.999997	
436.400	15	21	100000.0	-3.308	0.954	15.0	0.0	0.0	4.0	4.0	26.000	0.148195	
436.425	16	21	100000.0	-5.047	0.954	15.0	0.0	0.0	4.0	4.0	18.000	0.434549	
436.450	17	21	500000.0	-3.925	0.954	15.0	0.0	0.0	4.0	4.0	20.000	0.999981	
436.475	18	21	100000.0	-5.662	0.954	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
436.500	19	6	1000000.0	-9.505	0.986	0.0	0.0	0.0	0.0	1.0	27.971	0.000000	
436.525	20	21	100000.0	-3.465	0.954	15.0	0.0	0.0	4.0	4.0	26.000	0.939264	
436.550	21	21	100000.0	-6.395	0.954	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
436.575	22	21	500000.0	-4.972	0.954	15.0	0.0	0.0	4.0	4.0	20.000	0.999993	
436.600	23	23	100000.0	-5.338	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000192	
436.625	24	23	1000000.0	-5.821	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.650	25	23	100000.0	-4.610	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
436.675	26	23	100000.0	-3.858	1.000	8.0	0.0	0.0	4.0	3.0	13.857	0.982746	
436.700	27	23	500000.0	-3.312	1.000	8.0	0.0	0.0	4.0	3.0	18.000	0.999997	
436.725	28	21	100000.0	-4.852	0.954	15.0	0.0	0.0	4.0	4.0	10.000	0.000105	
436.750	29	21	1000000.0	-6.707	0.954	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
436.775	30	18	100000.0	-8.213	1.000	1.0	0.0	0.0	0.0	0.0	28.000	0.000000	
436.800	31	23	100000.0	-6.817	1.000	8.0	0.0	0.0	4.0	3.0	4.778	0.000000	
436.825	32	23	500000.0	-5.587	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
436.850	33	21	100000.0	-6.731	0.954	15.0	0.0	0.0	4.0	4.0	4.700	0.000000	
436.875	34	23	1000000.0	-4.589	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
436.900	35	23	100000.0	-4.821	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000524	
436.925	36	21	100000.0	-5.863	0.954	15.0	0.0	0.0	4.0	4.0	8.000	0.000044	
436.950	37	23	500000.0	-7.194	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
436.975	38	23	100000.0	-5.407	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.000	39	23	1000000.0	-4.052	1.000	8.0	0.0	0.0	4.0	3.0	12.000	0.000000	
