simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	16	100000.0	-4.395	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.381539	
1.050	1	16	100000.0	-8.840	0.500	4.0	0.0	0.0	0.0	0.0	28.000	0.529456	
1.075	2	12	500000.0	-10.020	0.663	5.0	0.0	0.0	3.0	1.0	18.107	1.000000	
1.100	3	6	100000.0	-11.833	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.454848	
1.125	4	15	1000000.0	-10.982	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.999995	
1.150	5	13	100000.0	-4.384	0.837	2.0	0.0	0.0	1.0	2.0	17.714	0.504950	
1.175	6	12	100000.0	-4.764	0.663	4.0	0.0	0.0	3.0	1.0	17.750	0.988118	
1.200	7	12	500000.0	-5.201	0.663	4.0	0.0	0.0	3.0	1.0	15.069	0.999666	
1.225	8	15	100000.0	-10.915	0.375	4.0	0.0	0.0	0.0	1.0	21.000	0.999270	
1.250	9	12	1000000.0	-10.444	0.663	4.0	0.0	0.0	3.0	2.0	15.834	0.999818	
1.275	10	13	100000.0	-11.176	0.837	2.0	0.0	0.0	1.0	1.0	10.416	0.805755	
1.300	11	15	100000.0	-4.298	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.999997	
1.325	12	17	500000.0	-3.209	0.851	7.0	0.0	0.0	3.0	3.0	24.138	0.993963	
1.350	13	15	100000.0	-7.574	0.375	4.0	0.0	0.0	0.0	1.0	14.000	0.000017	
1.375	14	15	1000000.0	-11.476	0.375	4.0	0.0	0.0	0.0	2.0	11.200	0.999990	
1.400	15	15	100000.0	-8.787	0.375	4.0	0.0	0.0	0.0	2.0	28.000	0.000000	
1.425	16	12	100000.0	-3.741	0.663	4.0	0.0	0.0	3.0	2.0	22.000	0.986957	
1.450	17	12	500000.0	-3.513	0.663	4.0	0.0	0.0	3.0	2.0	21.486	0.993338	
1.475	18	11	100000.0	-3.210	0.483	1.0	0.0	0.0	1.0	0.0	25.143	0.994103	
1.500	19	14	1000000.0	-8.812	0.577	1.0	0.0	0.0	0.0	1.0	26.000	0.998786	
1.525	20	14	100000.0	-6.060	0.577	1.0	0.0	0.0	0.0	1.0	26.000	0.982506	
1.550	21	11	100000.0	-10.110	0.483	2.0	0.0	0.0	1.0	0.0	20.476	0.919030	
1.575	22	11	500000.0	-7.807	0.483	2.0	0.0	0.0	1.0	0.0	15.810	0.000000	
1.600	23	17	100000.0	-3.296	0.851	7.0	0.0	0.0	3.0	3.0	22.000	0.992078	
1.625	24	17	1000000.0	-6.116	0.851	7.0	0.0	0.0	3.0	3.0	10.045	0.712110	
1.650	25	17	100000.0	-6.620	0.851	7.0	0.0	0.0	3.0	3.0	11.600	0.000172	
1.675	26	17	100000.0	-4.732	0.851	7.0	0.0	0.0	3.0	3.0	10.333	0.911494	
1.700	27	17	500000.0	-4.362	0.851	7.0	0.0	0.0	3.0	3.0	12.176	0.999889	
1.725	28	17	100000.0	-11.298	0.851	8.0	0.0	0.0	3.0	3.0	14.143	0.000000	
1.750	29	17	1000000.0	-9.893	0.851	8.0	0.0	0.0	3.0	4.0	13.133	0.000000	
1.775	30	16	100000.0	-4.664	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.999760	
1.800	31	17	100000.0	-3.170	0.851	8.0	0.0	0.0	3.0	4.0	25.429	0.993535	
1.825	32	17	500000.0	-3.303	0.851	8.0	0.0	0.0	3.0	4.0	20.143	0.999997	
1.850	33	17	100000.0	-6.741	0.851	8.0	0.0	0.0	3.0	4.0	10.800	0.000000	
1.875	34	16	1000000.0	-9.048	0.500	3.0	0.0	0.0	0.0	1.0	18.667	0.978280	
1.900	35	13	100000.0	-10.245	0.837	3.0	0.0	0.0	1.0	0.0	8.224	0.999467	
1.925	36	17	100000.0	-11.507	0.851	8.0	0.0	0.0	3.0	3.0	12.725	0.276418	
1.950	37	13	500000.0	-6.654	0.837	3.0	0.0	0.0	1.0	0.0	6.958	0.998781	
1.975	38	17	100000.0	-6.473	0.851	8.0	0.0	0.0	3.0	3.0	13.556	0.999565	
2.000	39	17	1000000.0	-7.159	0.851	8.0	0.0	0.0	3.0	3.0	5.200	0.000000	
