simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
462.350	13	15	100000.0	-8.262	0.675	5.0	0.0	0.0	0.0	1.0	13.714	0.000000	
462.375	14	12	1000000.0	-6.423	0.763	2.0	0.0	0.0	2.0	2.0	13.562	0.985390	
462.400	15	3	100000.0	-6.520	1.000	1.0	0.0	0.0	0.0	0.0	30.000	1.000000	
462.425	16	12	100000.0	-3.465	0.763	2.0	0.0	0.0	2.0	2.0	22.000	0.980636	
462.450	17	12	500000.0	-3.358	0.763	2.0	0.0	0.0	2.0	2.0	23.075	0.999972	
462.475	18	11	100000.0	-3.291	0.515	1.0	0.0	0.0	1.0	0.0	27.429	0.999988	
462.500	19	12	1000000.0	-9.725	0.763	2.0	0.0	0.0	2.0	3.0	17.579	0.999865	
462.525	20	14	100000.0	-7.856	0.278	1.0	0.0	0.0	0.0	0.0	30.000	0.982506	
462.550	21	16	100000.0	-4.379	0.459	4.0	0.0	0.0	0.0	0.0	28.000	0.971508	
462.575	22	11	500000.0	-10.179	0.515	1.0	0.0	0.0	1.0	0.0	14.909	0.000000	
462.600	23	17	100000.0	-3.363	0.785	8.0	0.0	0.0	3.0	2.0	21.429	0.943274	
462.625	24	17	1000000.0	-4.524	0.785	8.0	0.0	0.0	3.0	2.0	15.290	0.999939	
462.650	25	10	100000.0	-9.772	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.112154	
462.675	26	17	100000.0	-3.780	0.785	7.0	0.0	0.0	3.0	2.0	19.857	0.577618	
462.700	27	13	500000.0	-7.260	0.592	3.0	0.0	0.0	2.0	3.0	13.450	0.992652	
462.725	28	13	100000.0	-8.739	0.592	3.0	0.0	0.0	2.0	3.0	19.000	0.000000	
462.750	29	6	1000000.0	-11.993	1.000	0.0	0.0	0.0	0.0	1.0	30.000	0.998179	
462.775	30	16	100000.0	-4.521	0.459	4.0	0.0	0.0	0.0	0.0	28.000	0.791117	
462.800	31	17	100000.0	-3.272	0.785	7.0	0.0	0.0	3.0	2.0	22.000	0.999800	
462.825	32	17	500000.0	-3.248	0.785	7.0	0.0	0.0	3.0	2.0	22.000	0.999966	
462.850	33	17	100000.0	-5.041	0.785	8.0	0.0	0.0	3.0	2.0	14.991	0.807800	
462.875	34	17	1000000.0	-4.535	0.785	8.0	0.0	0.0	3.0	2.0	15.016	0.999777	
462.900	35	17	100000.0	-4.547	0.785	8.0	0.0	0.0	3.0	2.0	0.000	0.718444	
462.925	36	13	100000.0	-10.367	0.592	4.0	0.0	0.0	2.0	3.0	9.157	0.000000	
462.950	37	12	500000.0	-7.047	0.763	2.0	0.0	0.0	3.0	2.0	15.583	0.978300	
462.975	38	17	100000.0	-3.539	0.785	8.0	0.0	0.0	3.0	2.0	20.571	0.065292	
463.000	39	17	1000000.0	-5.752	0.785	8.0	0.0	0.0	3.0	3.0	13.838	0.000000	
463.025	0	16	100000.0	-4.116	0.470	3.0	0.0	0.0	0.0	0.0	28.000	0.961453	
463.050	1	17	100000.0	-3.887	0.737	8.0	0.0	0.0	3.0	3.0	19.571	0.110839	
463.075	2	17	500000.0	-10.779	0.737	8.0	0.0	0.0	3.0	3.0	21.783	0.000000	
463.100	3	13	100000.0	-9.578	0.760	5.0	0.0	0.0	1.0	2.0	11.322	0.579046	
463.125	4	13	1000000.0	-4.287	0.760	5.0	0.0	0.0	1.0	2.0	14.533	0.999390	
463.150	5	13	100000.0	-4.235	0.760	5.0	0.0	0.0	1.0	2.0	12.933	0.988075	
463.175	6	12	100000.0	-3.675	0.770	2.0	0.0	0.0	3.0	2.0	20.714	0.015032	
463.200	7	12	500000.0	-3.794	0.770	2.0	0.0	0.0	3.0	2.0	19.101	0.858380	
463.225	8	12	100000.0	-8.160	0.770	3.0	0.0	0.0	3.0	2.0	16.755	0.999919	
463.250	9	13	1000000.0	-6.181	0.760	4.0	0.0	0.0	1.0	2.0	8.121	0.576988	
463.275	10	13	100000.0	-11.763	0.760	5.0	0.0	0.0	1.0	2.0	10.898	0.991187	
463.300	11	15	100000.0	-5.041	0.663	2.0	0.0	0.0	0.0	0.0	22.857	0.672945	
