simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	16	100000.0	-4.395	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.999991	
1.050	1	17	100000.0	-6.853	0.851	8.0	0.0	0.0	3.0	3.0	16.000	0.000622	
1.075	2	12	500000.0	-10.020	0.663	5.0	0.0	0.0	3.0	1.0	18.107	1.000000	
1.100	3	6	100000.0	-11.833	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.454848	
1.125	4	15	1000000.0	-10.982	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.999995	
1.150	5	13	100000.0	-4.384	0.837	2.0	0.0	0.0	1.0	2.0	17.714	0.988106	
1.175	6	12	100000.0	-4.764	0.663	4.0	0.0	0.0	3.0	1.0	17.750	0.988118	
1.200	7	12	500000.0	-5.201	0.663	4.0	0.0	0.0	3.0	1.0	15.069	0.999666	
1.225	8	15	100000.0	-10.915	0.375	4.0	0.0	0.0	0.0	1.0	21.000	0.997810	
1.250	9	15	1000000.0	-11.532	0.375	4.0	0.0	0.0	0.0	2.0	16.800	0.999549	
1.275	10	13	100000.0	-11.176	0.837	2.0	0.0	0.0	1.0	1.0	10.416	0.579972	
1.300	11	15	100000.0	-4.298	0.375	3.0	0.0	0.0	0.0	2.0	28.000	0.992779	
1.325	12	17	500000.0	-3.209	0.851	8.0	0.0	0.0	3.0	3.0	24.138	0.999992	
1.350	13	15	100000.0	-7.574	0.375	4.0	0.0	0.0	0.0	2.0	11.200	0.000000	
1.375	14	15	1000000.0	-11.476	0.375	4.0	0.0	0.0	0.0	3.0	9.333	0.990159	
1.400	15	12	100000.0	-10.042	0.663	5.0	0.0	0.0	3.0	1.0	15.834	0.000000	
1.425	16	12	100000.0	-3.741	0.663	5.0	0.0	0.0	3.0	1.0	22.000	0.986957	
1.450	17	12	500000.0	-3.513	0.663	5.0	0.0	0.0	3.0	1.0	21.486	0.999973	
1.475	18	11	100000.0	-3.210	0.483	1.0	0.0	0.0	1.0	0.0	25.143	0.994103	
1.500	19	12	1000000.0	-6.994	0.663	5.0	0.0	0.0	3.0	1.0	12.792	0.999698	
1.525	20	14	100000.0	-6.060	0.577	1.0	0.0	0.0	0.0	0.0	26.000	0.982506	
1.550	21	12	100000.0	-11.705	0.663	6.0	0.0	0.0	3.0	1.0	14.075	0.971508	
1.575	22	11	500000.0	-7.807	0.483	1.0	0.0	0.0	1.0	0.0	15.810	0.000000	
1.600	23	17	100000.0	-3.296	0.851	8.0	0.0	0.0	3.0	3.0	22.000	0.992078	
1.625	24	16	1000000.0	-9.239	0.500	2.0	0.0	0.0	0.0	1.0	28.000	0.998177	
1.650	25	17	100000.0	-6.620	0.851	8.0	0.0	0.0	3.0	2.0	11.600	0.774007	
1.675	26	17	100000.0	-4.732	0.851	8.0	0.0	0.0	3.0	2.0	10.333	0.532957	
1.700	27	17	500000.0	-4.362	0.851	8.0	0.0	0.0	3.0	2.0	12.176	0.999667	
1.725	28	17	100000.0	-11.298	0.851	9.0	0.0	0.0	3.0	2.0	14.601	0.000000	
1.750	29	12	1000000.0	-9.158	0.663	5.0	0.0	0.0	3.0	2.0	12.097	0.000000	
1.775	30	16	100000.0	-4.664	0.500	2.0	0.0	0.0	0.0	1.0	28.000	0.999760	
1.800	31	17	100000.0	-3.170	0.851	9.0	0.0	0.0	3.0	2.0	25.429	0.999760	
1.825	32	17	500000.0	-3.303	0.851	9.0	0.0	0.0	3.0	2.0	20.143	0.983818	
1.850	33	17	100000.0	-6.741	0.851	9.0	0.0	0.0	3.0	2.0	10.800	0.000211	
1.875	34	16	1000000.0	-9.048	0.500	2.0	0.0	0.0	0.0	2.0	18.667	0.751675	
1.900	35	17	100000.0	-5.425	0.851	9.0	0.0	0.0	3.0	1.0	7.000	0.583393	
1.925	36	15	100000.0	-11.729	0.375	4.0	0.0	0.0	0.0	3.0	4.667	0.086093	
1.950	37	13	500000.0	-6.654	0.837	2.0	0.0	0.0	1.0	0.0	6.958	0.999992	
1.975	38	17	100000.0	-6.473	0.851	9.0	0.0	0.0	3.0	1.0	13.556	0.103271	
2.000	39	13	1000000.0	-7.846	0.837	2.0	0.0	0.0	1.0	1.0	8.224	0.998007	
2.025	0	16	100000.0	-4.442	0.534	2.0	0.0	0.0	0.0	2.0	20.000	0.983967	
2.050	1	16	100000.0	-8.879	0.534	3.0	0.0	0.0	0.0	2.0	15.267	0.000622	
2.075	2	13	500000.0	-7.668	0.743	2.0	0.0	0.0	2.0	1.0	11.332	1.000000	
2.100	3	6	100000.0	-11.833	1.000	1.0	0.0	0.0	0.0	0.0	28.000	0.454848	
2.125	4	15	1000000.0	-10.893	0.690	4.0	0.0	0.0	0.0	3.0	13.929	0.999995	
2.150	5	13	100000.0	-4.358	0.743	2.0	0.0	0.0	2.0	1.0	15.636	0.990241	
2.175	6	12	100000.0	-4.690	0.711	4.0	0.0	0.0	2.0	2.0	14.222	0.121393	
2.200	7	12	500000.0	-5.214	0.711	4.0	0.0	0.0	2.0	2.0	11.676	0.999989	
2.225	8	13	100000.0	-7.858	0.743	3.0	0.0	0.0	2.0	1.0	9.066	0.997810	
2.250	9	12	1000000.0	-10.505	0.711	4.0	0.0	0.0	2.0	3.0	12.583	0.999549	
2.275	10	15	100000.0	-4.733	0.690	4.0	0.0	0.0	0.0	2.0	12.152	0.579972	
2.300	11	15	100000.0	-4.253	0.690	4.0	0.0	0.0	0.0	2.0	15.529	0.994080	
2.325	12	17	500000.0	-3.206	0.789	8.0	0.0	0.0	3.0	0.0	22.821	0.999988	
2.350	13	14	100000.0	-7.092	0.554	2.0	0.0	0.0	0.0	0.0	25.867	0.000000	
