simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	26	100000.0	-5.469	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.943587	
1.050	1	27	100000.0	-6.996	0.841	7.0	0.0	0.0	3.0	3.0	10.462	0.170501	
1.075	2	23	500000.0	-8.616	0.798	1.0	0.0	0.0	2.0	2.0	5.978	0.000000	
1.100	3	22	100000.0	-5.301	0.829	6.0	0.0	0.0	2.0	2.0	14.444	0.991154	
1.125	4	23	1000000.0	-4.694	0.798	1.0	0.0	0.0	2.0	2.0	14.222	0.999998	
1.150	5	23	100000.0	-4.039	0.798	1.0	0.0	0.0	2.0	2.0	16.286	0.999995	
1.175	6	22	100000.0	-4.698	0.829	6.0	0.0	0.0	2.0	2.0	14.857	0.965134	
1.200	7	22	500000.0	-6.230	0.829	6.0	0.0	0.0	2.0	2.0	8.355	0.996990	
1.225	8	22	100000.0	-7.467	0.829	6.0	0.0	0.0	2.0	2.0	9.333	0.694593	
1.250	9	22	1000000.0	-8.276	0.829	6.0	0.0	0.0	2.0	2.0	5.424	0.000000	
1.275	10	25	100000.0	-4.863	0.500	1.0	0.0	0.0	0.0	0.0	28.000	0.992773	
1.300	11	3	100000.0	-6.757	1.000	1.0	0.0	0.0	0.0	0.0	28.000	0.999997	
1.325	12	27	500000.0	-3.181	0.841	7.0	0.0	0.0	3.0	3.0	23.290	0.999975	
1.350	13	24	100000.0	-7.604	0.582	3.0	0.0	0.0	0.0	1.0	17.273	0.015135	
1.375	14	24	1000000.0	-6.595	0.582	3.0	0.0	0.0	0.0	1.0	22.602	0.909810	
1.400	15	24	100000.0	-8.988	0.582	3.0	0.0	0.0	0.0	1.0	23.111	0.000000	
1.425	16	22	100000.0	-4.076	0.829	6.0	0.0	0.0	2.0	2.0	16.286	0.995620	
1.450	17	22	500000.0	-3.605	0.829	6.0	0.0	0.0	2.0	2.0	19.824	0.999991	
1.475	18	21	100000.0	-3.195	0.475	1.0	0.0	0.0	1.0	0.0	25.714	0.994103	
1.500	19	22	1000000.0	-8.334	0.829	6.0	0.0	0.0	2.0	2.0	9.596	0.000000	
1.525	20	24	100000.0	-6.431	0.582	3.0	0.0	0.0	0.0	1.0	26.000	0.982506	
1.550	21	26	100000.0	-5.868	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.821889	
1.575	22	21	500000.0	-7.867	0.475	1.0	0.0	0.0	1.0	0.0	15.478	0.000000	
1.600	23	27	100000.0	-3.399	0.841	7.0	0.0	0.0	3.0	3.0	21.714	0.932776	
1.625	24	27	1000000.0	-6.411	0.841	7.0	0.0	0.0	3.0	3.0	10.270	0.995061	
1.650	25	27	100000.0	-5.878	0.841	7.0	0.0	0.0	3.0	3.0	10.143	0.532722	
1.675	26	27	100000.0	-5.960	0.841	7.0	0.0	0.0	3.0	3.0	11.636	0.112248	
1.700	27	27	500000.0	-4.484	0.841	7.0	0.0	0.0	3.0	3.0	12.824	0.999889	
1.725	28	22	100000.0	-9.147	0.829	6.0	0.0	0.0	2.0	2.0	5.294	0.003446	
1.750	29	23	1000000.0	-7.625	0.798	1.0	0.0	0.0	2.0	2.0	8.049	0.000000	
1.775	30	26	100000.0	-5.055	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.980808	
1.800	31	27	100000.0	-3.195	0.841	7.0	0.0	0.0	3.0	3.0	23.714	0.999973	
1.825	32	27	500000.0	-3.350	0.841	7.0	0.0	0.0	3.0	3.0	20.067	0.999993	
1.850	33	27	100000.0	-5.490	0.841	7.0	0.0	0.0	3.0	3.0	15.111	0.999676	
1.875	34	27	1000000.0	-5.657	0.841	7.0	0.0	0.0	3.0	3.0	12.595	0.999975	
1.900	35	27	100000.0	-5.614	0.841	7.0	0.0	0.0	3.0	3.0	15.556	0.807946	
1.925	36	22	100000.0	-7.973	0.829	6.0	0.0	0.0	2.0	2.0	5.111	0.004226	
1.950	37	23	500000.0	-8.836	0.798	1.0	0.0	0.0	2.0	2.0	11.355	0.000000	
1.975	38	26	100000.0	-7.313	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.000000	
2.000	39	27	1000000.0	-5.875	0.841	7.0	0.0	0.0	3.0	3.0	9.625	0.999183	
2.025	0	26	100000.0	-5.552	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.953333	
2.050	1	27	100000.0	-7.000	0.839	7.0	0.0	0.0	3.0	3.0	11.500	0.000000	
2.075	2	23	500000.0	-8.576	0.815	1.0	0.0	0.0	2.0	2.0	7.057	0.000000	
2.100	3	22	100000.0	-5.301	0.826	6.0	0.0	0.0	2.0	2.0	12.111	0.999970	
2.125	4	23	1000000.0	-4.730	0.815	1.0	0.0	0.0	2.0	2.0	12.811	0.999994	
2.150	5	23	100000.0	-4.019	0.815	1.0	0.0	0.0	2.0	2.0	16.857	0.990241	
2.175	6	22	100000.0	-4.625	0.826	6.0	0.0	0.0	2.0	2.0	14.714	0.990250	
2.200	7	22	500000.0	-6.254	0.826	6.0	0.0	0.0	2.0	2.0	8.210	0.999899	
2.225	8	22	100000.0	-7.468	0.826	6.0	0.0	0.0	2.0	2.0	9.120	0.735291	
2.250	9	22	1000000.0	-8.317	0.826	6.0	0.0	0.0	2.0	2.0	5.333	0.000000	
2.275	10	25	100000.0	-4.781	0.500	1.0	0.0	0.0	0.0	0.0	28.000	0.986908	
2.300	11	25	100000.0	-6.600	0.500	2.0	0.0	0.0	0.0	0.0	28.000	0.999997	
2.325	12	27	500000.0	-3.178	0.839	7.0	0.0	0.0	3.0	3.0	23.107	0.999988	
2.350	13	24	100000.0	-7.615	0.576	3.0	0.0	0.0	0.0	1.0	18.286	0.000000	
2.375	14	24	1000000.0	-6.624	0.576	3.0	0.0	0.0	0.0	1.0	23.288	0.999995	
2.400	15	24	100000.0	-8.990	0.576	3.0	0.0	0.0	0.0	1.0	24.118	0.893348	
2.425	16	22	100000.0	-4.104	0.826	6.0	0.0	0.0	2.0	2.0	17.286	0.989296	
2.450	17	22	500000.0	-3.592	0.826	6.0	0.0	0.0	2.0	2.0	19.273	0.999986	
2.475	18	21	100000.0	-3.194	0.473	1.0	0.0	0.0	1.0	0.0	25.714	0.989306	
2.500	19	22	1000000.0	-8.372	0.826	6.0	0.0	0.0	2.0	2.0	9.361	0.000000	
2.525	20	24	100000.0	-6.318	0.576	3.0	0.0	0.0	0.0	1.0	24.714	0.985631	
2.550	21	26	100000.0	-5.774	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.883825	
2.575	22	21	500000.0	-7.876	0.473	1.0	0.0	0.0	1.0	0.0	15.224	0.000000	
2.600	23	27	100000.0	-3.403	0.839	7.0	0.0	0.0	3.0	3.0	20.286	0.993504	
2.625	24	27	1000000.0	-6.388	0.839	7.0	0.0	0.0	3.0	3.0	10.746	0.999909	
2.650	25	27	100000.0	-5.822	0.839	7.0	0.0	0.0	3.0	3.0	10.148	0.384862	
2.675	26	27	100000.0	-5.938	0.839	7.0	0.0	0.0	3.0	3.0	8.846	0.016823	
2.700	27	27	500000.0	-4.535	0.839	7.0	0.0	0.0	3.0	3.0	12.261	0.999909	
2.725	28	22	100000.0	-9.119	0.826	6.0	0.0	0.0	2.0	2.0	5.943	0.000631	
2.750	29	23	1000000.0	-7.660	0.815	1.0	0.0	0.0	2.0	2.0	7.349	0.999926	
2.775	30	26	100000.0	-5.055	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.965572	
2.800	31	27	100000.0	-3.195	0.839	7.0	0.0	0.0	3.0	3.0	23.857	0.999978	
2.825	32	27	500000.0	-3.350	0.839	7.0	0.0	0.0	3.0	3.0	19.418	0.999996	
2.850	33	27	100000.0	-5.490	0.839	7.0	0.0	0.0	3.0	3.0	11.130	0.434316	
2.875	34	27	1000000.0	-5.657	0.839	7.0	0.0	0.0	3.0	3.0	11.871	0.999667	
2.900	35	27	100000.0	-5.614	0.839	7.0	0.0	0.0	3.0	3.0	9.652	0.837082	
2.925	36	22	100000.0	-7.973	0.826	6.0	0.0	0.0	2.0	2.0	6.118	0.159442	
2.950	37	23	500000.0	-8.836	0.815	1.0	0.0	0.0	2.0	2.0	8.875	0.000000	
2.975	38	26	100000.0	-7.313	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.000000	
3.000	39	27	1000000.0	-5.875	0.839	7.0	0.0	0.0	3.0	3.0	10.346	0.997992	
3.025	0	26	100000.0	-5.632	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.961465	
3.050	1	27	100000.0	-7.005	0.837	7.0	0.0	0.0	3.0	3.0	11.818	0.092611	
3.075	2	23	500000.0	-8.527	0.816	1.0	0.0	0.0	2.0	2.0	6.659	0.711326	
3.100	3	22	100000.0	-5.301	0.826	6.0	0.0	0.0	2.0	2.0	12.706	0.999927	
3.125	4	23	1000000.0	-4.776	0.816	1.0	0.0	0.0	2.0	2.0	13.118	0.999991	
3.150	5	23	100000.0	-4.000	0.816	1.0	0.0	0.0	2.0	2.0	16.429	0.991996	
3.175	6	22	100000.0	-4.557	0.826	6.0	0.0	0.0	2.0	2.0	14.571	0.999967	
3.200	7	22	500000.0	-6.268	0.826	6.0	0.0	0.0	2.0	2.0	7.870	0.999549	
3.225	8	22	100000.0	-7.469	0.826	6.0	0.0	0.0	2.0	2.0	8.880	0.998797	
3.250	9	22	1000000.0	-8.391	0.826	6.0	0.0	0.0	2.0	2.0	5.154	0.000000	
3.275	10	25	100000.0	-4.743	0.500	2.0	0.0	0.0	0.0	0.0	28.000	0.968401	
3.300	11	25	100000.0	-6.319	0.500	2.0	0.0	0.0	0.0	0.0	28.000	0.999997	
3.325	12	27	500000.0	-3.174	0.837	7.0	0.0	0.0	3.0	3.0	22.982	0.999998	
3.350	13	24	100000.0	-7.639	0.576	3.0	0.0	0.0	0.0	1.0	17.700	0.957889	
3.375	14	24	1000000.0	-6.649	0.576	3.0	0.0	0.0	0.0	1.0	22.448	0.999955	
3.400	15	24	100000.0	-8.997	0.576	3.0	0.0	0.0	0.0	1.0	25.125	0.773006	
3.425	16	22	100000.0	-4.141	0.826	6.0	0.0	0.0	2.0	2.0	16.857	0.999919	
3.450	17	22	500000.0	-3.564	0.826	6.0	0.0	0.0	2.0	2.0	20.000	0.130634	
3.475	18	21	100000.0	-3.193	0.464	1.0	0.0	0.0	1.0	0.0	25.429	0.991227	
3.500	19	22	1000000.0	-8.410	0.826	6.0	0.0	0.0	2.0	2.0	9.078	0.000000	
3.525	20	24	100000.0	-6.254	0.576	3.0	0.0	0.0	0.0	1.0	23.429	0.988205	
3.550	21	26	100000.0	-5.664	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.755676	
3.575	22	21	500000.0	-7.886	0.464	1.0	0.0	0.0	1.0	0.0	15.209	0.000000	
3.600	23	27	100000.0	-3.413	0.837	7.0	0.0	0.0	3.0	3.0	19.857	0.873255	
3.625	24	27	1000000.0	-6.366	0.837	7.0	0.0	0.0	3.0	3.0	10.511	0.999700	
3.650	25	27	100000.0	-5.762	0.837	7.0	0.0	0.0	3.0	3.0	11.120	0.433152	
3.675	26	27	100000.0	-5.914	0.837	7.0	0.0	0.0	3.0	3.0	9.333	0.158682	
3.700	27	27	500000.0	-4.583	0.837	7.0	0.0	0.0	3.0	3.0	11.972	0.999955	
3.725	28	22	100000.0	-9.088	0.826	6.0	0.0	0.0	2.0	2.0	3.789	0.807350	
3.750	29	23	1000000.0	-7.726	0.816	1.0	0.0	0.0	2.0	2.0	7.676	0.999550	
3.775	30	26	100000.0	-5.055	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.971635	
3.800	31	27	100000.0	-3.195	0.837	7.0	0.0	0.0	3.0	3.0	24.000	0.999996	
3.825	32	27	500000.0	-3.350	0.837	7.0	0.0	0.0	3.0	3.0	19.368	0.999983	
3.850	33	27	100000.0	-5.490	0.837	7.0	0.0	0.0	3.0	3.0	11.619	0.094123	
3.875	34	27	1000000.0	-5.657	0.837	7.0	0.0	0.0	3.0	3.0	12.051	0.991897	
3.900	35	27	100000.0	-5.614	0.837	7.0	0.0	0.0	3.0	3.0	13.111	0.410145	
3.925	36	22	100000.0	-7.973	0.826	6.0	0.0	0.0	2.0	2.0	5.056	0.071596	
3.950	37	23	500000.0	-8.836	0.816	1.0	0.0	0.0	2.0	2.0	9.333	0.000000	
3.975	38	26	100000.0	-7.313	0.400	4.0	0.0	0.0	0.0	0.0	28.000	0.000000	
4.000	39	27	1000000.0	-5.875	0.837	7.0	0.0	0.0	3.0	3.0	9.949	0.991061	
4.025	0	26	100000.0	-5.703	0.427	4.0	0.0	0.0	0.0	0.0	28.000	0.910263	
4.050	1	27	100000.0	-7.009	0.844	7.0	0.0	0.0	3.0	3.0	10.381	0.000000	
4.075	2	23	500000.0	-8.455	0.817	1.0	0.0	0.0	2.0	2.0	9.151	0.994523	
4.100	3	22	100000.0	-5.301	0.829	6.0	0.0	0.0	2.0	2.0	12.875	0.454807	
4.125	4	23	1000000.0	-4.828	0.817	1.0	0.0	0.0	2.0	2.0	12.967	0.999995	
4.150	5	23	100000.0	-3.979	0.817	1.0	0.0	0.0	2.0	2.0	20.429	0.985510	
4.175	6	22	100000.0	-4.508	0.829	6.0	0.0	0.0	2.0	2.0	15.571	0.993443	
4.200	7	22	500000.0	-6.280	0.829	6.0	0.0	0.0	2.0	2.0	7.854	0.999925	
4.225	8	22	100000.0	-7.470	0.829	6.0	0.0	0.0	2.0	2.0	9.130	0.999757	
4.250	9	22	1000000.0	-8.447	0.829	6.0	0.0	0.0	2.0	2.0	5.215	0.000000	
4.275	10	25	100000.0	-4.684	0.519	2.0	0.0	0.0	0.0	0.0	28.000	0.973979	
4.300	11	25	100000.0	-6.005	0.519	2.0	0.0	0.0	0.0	0.0	28.000	0.999997	
4.325	12	27	500000.0	-3.172	0.844	7.0	0.0	0.0	3.0	3.0	23.119	0.999752	
4.350	13	24	100000.0	-7.654	0.578	3.0	0.0	0.0	0.0	1.0	18.700	0.000006	
4.375	14	24	1000000.0	-6.696	0.578	3.0	0.0	0.0	0.0	1.0	22.249	0.990158	
4.400	15	24	100000.0	-9.018	0.578	3.0	0.0	0.0	0.0	1.0	25.250	0.000000	
4.425	16	22	100000.0	-4.156	0.829	6.0	0.0	0.0	2.0	2.0	16.857	0.994655	
4.450	17	22	500000.0	-3.546	0.829	6.0	0.0	0.0	2.0	2.0	19.848	0.995524	
4.475	18	21	100000.0	-3.192	0.453	1.0	0.0	0.0	1.0	0.0	25.286	0.992805	
4.500	19	22	1000000.0	-8.437	0.829	6.0	0.0	0.0	2.0	2.0	9.013	0.000000	
4.525	20	24	100000.0	-6.113	0.578	3.0	0.0	0.0	0.0	1.0	22.429	0.999990	
4.550	21	26	100000.0	-5.621	0.427	4.0	0.0	0.0	0.0	0.0	28.000	0.790687	
4.575	22	21	500000.0	-7.898	0.453	1.0	0.0	0.0	1.0	0.0	15.030	0.000000	
4.600	23	27	100000.0	-3.425	0.844	7.0	0.0	0.0	3.0	3.0	19.571	0.999987	
4.625	24	27	1000000.0	-6.346	0.844	7.0	0.0	0.0	3.0	3.0	10.411	0.998177	
4.650	25	27	100000.0	-5.714	0.844	7.0	0.0	0.0	3.0	3.0	9.917	0.999839	
4.675	26	27	100000.0	-5.897	0.844	7.0	0.0	0.0	3.0	3.0	10.000	0.737283	
4.700	27	27	500000.0	-4.634	0.844	7.0	0.0	0.0	3.0	3.0	11.803	0.999978	
4.725	28	22	100000.0	-9.052	0.829	6.0	0.0	0.0	2.0	2.0	5.294	0.919298	
4.750	29	23	1000000.0	-7.748	0.817	1.0	0.0	0.0	2.0	2.0	7.380	0.999669	
4.775	30	26	100000.0	-5.055	0.427	4.0	0.0	0.0	0.0	0.0	28.000	0.976655	
4.800	31	27	100000.0	-3.195	0.844	7.0	0.0	0.0	3.0	3.0	23.714	0.992114	
4.825	32	27	500000.0	-3.350	0.844	7.0	0.0	0.0	3.0	3.0	19.655	0.993356	
4.850	33	27	100000.0	-5.490	0.844	7.0	0.0	0.0	3.0	3.0	11.579	0.112611	
4.875	34	27	1000000.0	-5.657	0.844	7.0	0.0	0.0	3.0	3.0	11.911	0.999670	
