simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	22	100000.0	-8.328	0.612	3.0	0.0	0.0	0.0	0.0	16.692	1.000000	
1.050	1	21	100000.0	-7.144	0.958	16.0	0.0	0.0	4.0	5.0	4.842	0.000000	
1.075	2	13	500000.0	-11.025	1.000	0.0	0.0	0.0	1.0	0.0	30.000	0.000000	
1.100	3	23	100000.0	-11.748	0.986	6.0	0.0	0.0	3.0	3.0	7.139	0.969146	
1.125	4	23	1000000.0	-11.183	0.986	5.0	0.0	0.0	3.0	4.0	7.139	0.000000	
1.150	5	23	100000.0	-10.559	0.986	7.0	0.0	0.0	3.0	3.0	6.544	0.001167	
1.175	6	21	100000.0	-4.888	0.958	14.0	0.0	0.0	4.0	4.0	10.143	0.512245	
1.200	7	21	500000.0	-5.497	0.958	14.0	0.0	0.0	4.0	4.0	10.000	0.000000	
1.225	8	21	100000.0	-3.982	0.958	14.0	0.0	0.0	4.0	4.0	17.714	0.954779	
1.250	9	23	1000000.0	-11.160	0.986	7.0	0.0	0.0	3.0	5.0	5.609	0.000000	
1.275	10	21	100000.0	-3.600	0.958	14.0	0.0	0.0	4.0	3.0	23.714	0.999971	
1.300	11	21	100000.0	-5.038	0.958	14.0	0.0	0.0	4.0	3.0	18.000	0.366284	
1.325	12	21	500000.0	-7.972	0.958	14.0	0.0	0.0	5.0	3.0	15.069	0.997537	
1.350	13	1	100000.0	-10.381	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.904891	
1.375	14	21	1000000.0	-3.071	0.958	13.0	0.0	0.0	5.0	3.0	28.000	0.999980	
1.400	15	21	100000.0	-3.098	0.958	13.0	0.0	0.0	5.0	3.0	28.000	0.124647	
1.425	16	21	100000.0	-4.409	0.958	13.0	0.0	0.0	5.0	3.0	17.429	0.011543	
1.450	17	21	500000.0	-3.926	0.958	13.0	0.0	0.0	5.0	3.0	19.786	0.999918	
1.475	18	22	100000.0	-6.968	0.612	4.0	0.0	0.0	0.0	0.0	11.128	0.161868	
1.500	19	21	1000000.0	-3.454	0.958	12.0	0.0	0.0	5.0	3.0	27.806	0.043615	
1.525	20	21	100000.0	-3.385	0.958	12.0	0.0	0.0	5.0	3.0	28.000	0.950482	
1.550	21	22	100000.0	-3.600	0.612	4.0	0.0	0.0	0.0	0.0	22.000	0.825580	
1.575	22	21	500000.0	-6.059	0.958	12.0	0.0	0.0	5.0	3.0	17.571	0.999939	
1.600	23	21	100000.0	-8.406	0.958	13.0	0.0	0.0	5.0	3.0	14.054	0.001758	
1.625	24	21	1000000.0	-6.995	0.958	13.0	0.0	0.0	5.0	4.0	13.385	0.000000	
1.650	25	23	100000.0	-8.803	0.986	7.0	0.0	0.0	2.0	4.0	5.199	0.001304	
1.675	26	23	100000.0	-4.625	0.986	7.0	0.0	0.0	2.0	4.0	8.143	0.000000	
1.700	27	21	500000.0	-11.976	0.958	12.0	0.0	0.0	6.0	4.0	13.171	0.999993	
1.725	28	21	100000.0	-6.477	0.958	12.0	0.0	0.0	6.0	4.0	6.000	0.010573	
1.750	29	21	1000000.0	-8.487	0.958	12.0	0.0	0.0	6.0	5.0	12.572	0.999593	
1.775	30	22	100000.0	-7.374	0.612	4.0	0.0	0.0	0.0	0.0	11.385	0.000000	
1.800	31	23	100000.0	-5.746	0.986	7.0	0.0	0.0	1.0	3.0	6.143	0.002628	
1.825	32	23	500000.0	-7.156	0.986	7.0	0.0	0.0	2.0	3.0	3.853	0.000000	
1.850	33	23	100000.0	-8.280	0.986	8.0	0.0	0.0	2.0	3.0	3.532	0.281722	
1.875	34	22	1000000.0	-11.386	0.612	4.0	0.0	0.0	0.0	1.0	8.346	0.000000	
1.900	35	21	100000.0	-8.000	0.958	12.0	0.0	0.0	5.0	4.0	13.092	0.989697	
1.925	36	21	100000.0	-8.216	0.958	13.0	0.0	0.0	5.0	4.0	12.469	0.000000	
1.950	37	21	500000.0	-9.374	0.958	13.0	0.0	0.0	6.0	4.0	11.902	0.999551	
1.975	38	22	100000.0	-10.813	0.612	5.0	0.0	0.0	0.0	1.0	6.677	0.887643	
2.000	39	23	1000000.0	-4.994	0.986	6.0	0.0	0.0	1.0	3.0	8.000	0.999990	
2.025	0	21	100000.0	-6.738	0.948	13.0	0.0	0.0	6.0	4.0	15.309	1.000000	
2.050	1	23	100000.0	-8.378	0.952	7.0	0.0	0.0	1.0	3.0	14.717	0.000000	
2.075	2	13	500000.0	-10.987	1.000	0.0	0.0	0.0	1.0	0.0	28.000	0.000000	
2.100	3	12	100000.0	-11.601	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.969146	
2.125	4	21	1000000.0	-4.500	0.948	12.0	0.0	0.0	6.0	5.0	15.120	0.000000	
2.150	5	21	100000.0	-4.440	0.948	13.0	0.0	0.0	6.0	5.0	14.463	0.001167	
2.175	6	21	100000.0	-4.850	0.948	13.0	0.0	0.0	6.0	5.0	12.800	0.561917	
2.200	7	23	500000.0	-11.379	0.952	5.0	0.0	0.0	2.0	2.0	8.246	0.000000	
2.225	8	21	100000.0	-3.978	0.948	13.0	0.0	0.0	5.0	5.0	17.714	0.998572	
2.250	9	21	1000000.0	-4.613	0.948	13.0	0.0	0.0	5.0	6.0	14.028	0.000000	
2.275	10	21	100000.0	-3.570	0.948	13.0	0.0	0.0	5.0	6.0	23.714	0.999358	
2.300	11	21	100000.0	-4.881	0.948	13.0	0.0	0.0	5.0	6.0	18.000	0.994244	
2.325	12	23	500000.0	-5.972	0.952	5.0	0.0	0.0	3.0	1.0	5.038	0.997537	
2.350	13	21	100000.0	-4.936	0.948	14.0	0.0	0.0	4.0	6.0	13.922	0.904891	
2.375	14	21	1000000.0	-3.070	0.948	14.0	0.0	0.0	4.0	6.0	28.000	0.003726	
2.400	15	21	100000.0	-3.096	0.948	14.0	0.0	0.0	4.0	6.0	28.000	0.999989	
2.425	16	21	100000.0	-4.408	0.948	14.0	0.0	0.0	4.0	6.0	17.714	0.778092	
2.450	17	21	500000.0	-3.928	0.948	14.0	0.0	0.0	4.0	6.0	17.254	0.993338	
2.475	18	21	100000.0	-5.820	0.948	15.0	0.0	0.0	4.0	6.0	13.342	0.161868	
2.500	19	21	1000000.0	-3.433	0.948	15.0	0.0	0.0	4.0	6.0	27.646	0.999973	
2.525	20	21	100000.0	-3.362	0.948	15.0	0.0	0.0	4.0	6.0	28.000	0.999994	
2.550	21	22	100000.0	-3.605	0.609	3.0	0.0	0.0	0.0	1.0	22.000	0.959200	
2.575	22	22	500000.0	-7.748	0.609	3.0	0.0	0.0	1.0	1.0	15.100	0.999939	
2.600	23	23	100000.0	-5.892	0.952	6.0	0.0	0.0	3.0	1.0	4.478	0.001758	
2.625	24	23	1000000.0	-6.839	0.952	6.0	0.0	0.0	3.0	2.0	4.030	0.000000	
2.650	25	21	100000.0	-7.794	0.948	15.0	0.0	0.0	3.0	5.0	13.395	0.001304	
2.675	26	23	100000.0	-4.610	0.952	5.0	0.0	0.0	3.0	2.0	8.741	0.017297	
2.700	27	23	500000.0	-4.236	0.952	5.0	0.0	0.0	4.0	2.0	3.415	0.999993	
2.725	28	13	100000.0	-11.620	1.000	1.0	0.0	0.0	1.0	0.0	28.000	0.010573	
2.750	29	21	1000000.0	-8.444	0.948	14.0	0.0	0.0	2.0	5.0	7.818	0.999593	
2.775	30	21	100000.0	-7.695	0.948	15.0	0.0	0.0	2.0	5.0	12.365	0.000000	
2.800	31	21	100000.0	-8.723	0.948	16.0	0.0	0.0	2.0	5.0	11.803	0.002628	
2.825	32	21	500000.0	-6.767	0.948	16.0	0.0	0.0	3.0	5.0	11.290	0.000000	
